,-51.97
44.16,-55.94,-52.75
43.63,-56.42,-53.60
45.24,-57.87,-53.35
47.38,-59.26,-51.82
51.37,-60.21,-50.19
54.07,-61.22,-46.74
56.97,-62.37,-45.38
57.53,-62.24,-45.38
57.48,-61.03,-44.68
56.87,-60.47,-43.67
55.19,-59.53,-43.38
55.33,-58.94,-42.56
56.73,-58.28,-40.11
68.11,-54.95,-33.18
69.17,-55.52,-34.96
69.27,-55.38,-36.06
68.77,-54.98,-36.39
67.53,-54.23,-35.98
67.58,-53.99,-36.02
68.14,-54.19,-36.27
68.16,-54.53,-36.75
69.51,-55.56,-37.05
71.00,-56.37,-36.00
71.72,-56.90,-34.82
71.51,-57.40,-33.48
70.12,-57.88,-32.11
69.27,-58.58,-30.50
68.10,-58.40,-26.34
66.33,-58.00,-23.46
64.69,-59.67,-25.59
60.05,-57.98,-28.91
52.19,-56.27,-27.77
44.87,-54.96,-24.27
51.27,-56.29,-26.62
55.74,-58.70,-30.14
59.87,-60.05,-32.63
62.44,-60.30,-33.23
62.78,-59.61,-35.43
63.91,-59.09,-36.39
66.65,-61.05,-40.11
67.07,-60.91,-37.36
67.42,-60.85,-33.99
69.32,-61.34,-32.50
70.45,-61.71,-30.36
70.24,-61.52,-28.06
70.47,-62.46,-27.38
69.98,-63.65,-25.74
68.53,-64.52,-24.22
67.81,-65.22,-25.54
67.28,-65.64,-27.57
66.72,-65.15,-28.94
67.55,-65.24,-30.33
68.10,-65.47,-30.37
68.24,-65.44,-30.01
68.61,-65.11,-30.98
69.02,-62.87,-35.69
70.22,-61.15,-37.79
71.19,-59.88,-38.51
72.71,-60.66,-39.06
74.65,-62.10,-42.57
74.06,-61.51,-44.93
70.73,-59.87,-43.65
66.25,-58.27,-40.92
61.46,-57.32,-39.04
58.38,-57.92,-40.48
55.16,-57.87,-39.64
54.34,-58.44,-37.01
54.07,-58.77,-34.83
55.23,-59.47,-33.10
55.47,-60.82,-32.41
55.57,-62.12,-32.82
54.66,-62.90,-34.51
54.73,-63.45,-36.17
55.30,-63.74,-37.65
54.68,-63.19,-39.48
54.79,-63.74,-41.61
54.72,-64.69,-41.69
53.33,-65.40,-42.58
51.06,-65.44,-44.53
48.89,-64.90,-46.58
48.61,-64.69,-47.74
50.35,-65.32,-47.00
51.06,-66.14,-45.64
49.85,-66.36,-44.71
47.84,-66.30,-43.80
45.20,-66.32,-42.77
41.74,-65.79,-42.14
38.38,-65.23,-42.36
37.07,-65.28,-41.49
35.14,-65.54,-40.61
31.32,-65.67,-40.49
25.14,-65.57,-41.54
17.53,-65.89,-44.62
8.87,-66.18,-48.61
7.37,-67.16,-50.31
15.18,-70.84,-50.03
8.91,-72.34,-50.94
-5.62,-73.60,-54.41
-15.42,-75.01,-57.03
-16.01,-77.00,-58.35
-20.29,-78.47,-61.45
-30.89,-78.95,-64.34
-36.20,-79.24,-65.40
-40.03,-79.42,-65.52
-46.62,-79.05,-65.94
-50.83,-78.45,-66.87
-52.36,-78.03,-67.55
-52.42,-77.67,-67.42
-50.72,-77.38,-66.48
-48.03,-77.14,-65.31
-45.96,-77.00,-64.43
-45.75,-76.81,-64.43
-46.31,-76.60,-64.91
-46.15,-76.47,-65.29
-45.21,-76.34,-65.39
-43.49,-76.21,-65.10
-41.95,-76.06,-64.80
-40.53,-75.93,-64.51
-39.20,-75.86,-64.52
-38.57,-75.88,-64.83
-38.03,-75.97,-65.00
-37.16,-76.06,-64.81
-36.98,-76.11,-64.61
-38.28,-76.12,-64.84
-39.09,-76.11,-64.98
-39.32,-76.00,-64.81
-38.60,-75.82,-64.37
-37.25,-75.67,-63.90
-36.14,-75.57,-63.64
-35.32,-75.45,-63.53
-34.52,-75.38,-63.46
-33.81,-75.31,-63.49
-33.10,-75.26,-63.57
-32.72,-75.26,-63.78
-32.43,-75.30,-63.93
