-16.66,-37.41
55.66,-16.96,-35.33
54.29,-19.55,-33.22
52.84,-22.38,-31.99
53.21,-23.40,-30.04
51.82,-24.85,-29.58
47.56,-23.48,-30.51
40.59,-24.82,-38.93
32.60,-25.68,-44.12
27.32,-27.01,-43.07
25.99,-31.06,-38.06
25.97,-44.49,-41.08
13.86,-48.41,-47.44
0.25,-52.77,-50.28
-35.01,-64.20,-59.38
-50.50,-69.65,-62.23
-62.90,-74.49,-67.48
-73.32,-78.11,-78.36
-79.72,-80.17,-88.76
-83.31,-98.80,-95.74
-85.36,-98.24,-99.15
-85.74,-97.93,-98.80
-102.60,-96.93,-117.96
-98.25,-97.91,-111.10
-79.23,-104.07,-93.23
-62.67,-64.87,-88.35
-54.50,-129.69,-92.42
-43.78,-146.30,-93.37
-0.95,-18.07,-87.37
42.17,-14.33,-82.11
25.66,-4.24,-86.23
0.32,164.48,-91.47
11.90,149.33,-91.09
71.09,35.04,-79.97
59.02,42.97,-80.05
56.46,52.53,-86.44
65.78,58.09,-81.20
67.02,59.16,-77.40
67.17,61.06,-77.60
71.15,63.45,-74.70
75.59,64.29,-69.27
77.40,64.28,-66.45
