.83,-84.64
-27.88,-61.84,-82.29
19.57,-56.47,-74.83
35.74,-48.05,-65.01
42.88,-37.05,-51.85
45.11,-26.37,-37.85
43.56,-15.58,-27.72
42.45,-7.41,-19.00
41.55,-2.08,-13.91
44.85,2.28,-16.17
54.46,5.44,-23.44
69.55,4.35,-28.31
86.09,0.60,-24.85
98.22,-6.12,-15.10
102.98,-9.35,-8.56
100.27,-8.14,-8.73
89.88,-6.43,-8.37
75.98,-3.07,-8.57
61.14,2.28,-10.26
49.14,7.16,-12.23
42.38,11.69,-17.95
41.07,13.61,-20.94
46.19,13.82,-21.34
55.22,14.33,-25.04
66.94,13.75,-29.40
81.56,9.64,-25.43
94.76,4.68,-16.82
101.92,1.40,-10.25
100.81,1.15,-7.93
92.73,2.40,-8.57
80.51,3.84,-10.26
65.85,5.40,-12.72
51.38,6.15,-15.88
42.76,7.02,-17.11
43.08,9.52,-21.03
50.40,11.01,-24.39
62.27,10.47,-24.71
76.98,8.71,-23.26
92.76,7.42,-23.51
102.71,5.65,-17.89
104.67,5.86,-13.11
99.81,8.12,-13.63
90.60,8.72,-13.27
78.58,8.84,-13.94
66.19,8.94,-15.80
56.02,8.64,-18.01
51.20,8.60,-20.35
50.03,9.25,-21.57
50.08,10.15,-22.38
